Area,Commodity Group,Weights
National Capital Region (NCR),01.1.1.1 - Cereals (ND),1.1
National Capital Region (NCR),01.1.1.12 - Rice,1.0
National Capital Region (NCR),"01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",0.1
National Capital Region (NCR),"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",0.9
National Capital Region (NCR),"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",0.7
National Capital Region (NCR),01.1.4.7 - Milk-based dessert and beverages (ND),0.0
National Capital Region (NCR),01.1.4.8 - Eggs (ND),0.2
National Capital Region (NCR),01.1.5 - Oils and fats (ND),0.1
National Capital Region (NCR),01.1.9 - Ready-made food and other food products n.e.c. (ND),0.3
National Capital Region (NCR),04.5.3.0 - Liquid fuels (ND),0.0
National Capital Region (NCR),04.5.4 - Solid fuels (ND),0.0
